rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,-9.96534,141.10904,31.40850,54.32283,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,666.5890000,21.5335000,-21.5335000
03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,-7.80173,143.61792,31.07852,58.15184,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,442.0420000,7.6540000,-7.6540000
01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,-5.64657,129.03163,42.69678,46.94818,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,52.5697000,0.0974000,-0.0971000
12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,57.08610,124.74559,56.32829,152.27660,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.9543000,0.0593000,-0.0592000
18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,29.15130,93.08126,87.05023,282.13451,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,38.0473000,0.0329000,-0.0329000
05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,-15.71602,211.65797,-29.42350,87.99923,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.2695000,0.0220000,-0.0218000
05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,-15.71602,211.65797,-29.42350,87.99923,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.2695000,0.0220000,-0.0218000
10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,34.75486,248.49513,-20.28382,155.83616,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,41.3342000,0.0685000,-0.0682000
10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,34.75486,248.49513,-20.28382,155.83616,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,41.3342000,0.0685000,-0.0682000
10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,43.23793,263.28467,-15.96792,170.13441,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,84.4069000,0.3537000,-0.3508000
18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,-1.35959,20.54287,11.55951,278.36653,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,27.1665000,0.0346000,-0.0346000
18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,-1.35959,20.54287,11.55951,278.36653,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,27.1665000,0.0346000,-0.0346000
07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,3.53127,230.52055,-34.92120,119.14067,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,925.2140000,41.2110000,-41.2110000
