ra,dec,sy_dist,pl_rade,st_rad,st_teff,hostname,sy_pnum,x,y,z
242.3762343,-21.0831403,383.9158847396839,18.647,1.9210375152196648,4060.0,1RXS J160929.1-210524,1,-166.09186955470608,-317.38373240255714,-138.10309131043658
286.4904589,38.374872,2674.9606822274786,1.93,1.6818040577943414,5513.0,Kepler-770,3,595.2674001270797,-2010.8186207464714,1660.6263421577125
133.1468373,28.3298154,17.528278177902965,1.856,1.7737741190871752,5272.0,55 Cnc,7,-10.551385936413002,11.25699780432526,8.317979991333925
86.8212337,-51.066148,38.254230940211954,16.8,1.9753589053697496,8038.68,bet Pic,2,1.333044136226939,24.002841165279722,-29.756894901052657
291.0636813,0.7460143,960.7897324833845,10.87,1.7014110500221729,5075.0,CoRoT-10,1,345.2837041124953,-896.5152456376278,12.509518741831235
280.6872998,5.9376586,1877.56144636131,16.02887,1.9264435972615899,6440.0,CoRoT-11,1,346.3234921916974,-1835.0948150310303,194.2267835926596
100.7656871,-1.2964437,3242.170312959628,16.14,1.84262457086894,5675.0,CoRoT-12,1,-605.4597419874796,3184.290483174923,-73.35501230865806
102.7211432,-5.0864557,3307.4862913240927,14.033668,1.8967479596574832,5945.0,CoRoT-13,1,-725.4607986238824,3213.5935861290636,-293.2378900260767
103.4242023,-5.5360385,5032.077108361347,12.22,1.8756802935503716,6035.0,CoRoT-14,1,-1162.7919389572216,4871.760426905515,-485.45367856038075
278.699236,-6.612288,3386.207100354668,11.43318,1.987316569025403,5740.0,CoRoT-17,1,508.749017121944,-3324.9862385038373,-389.92239975401407
98.1724172,-0.0316045,2195.6062537767857,14.022459,1.7654542557253547,5440.0,CoRoT-18,1,-312.1107131948124,2173.3090570750983,-1.2111020203985943
97.0335983,-0.1707293,2270.227442888741,14.45961,2.0024573337179334,6090.0,CoRoT-19,1,-277.9911865457486,2253.1328811899166,-6.764787421958958
102.0798591,-3.1021394,2262.2540295724402,17.385159,1.8480819805301598,5950.0,CoRoT-1,1,-472.7390934186213,2208.9190387670697,-122.42436049597816
97.7204249,0.2268931,2424.8259629554814,13.00244,1.9173933254505269,5880.0,CoRoT-20,2,-325.7472182767848,2402.8269798392257,9.602362449877381
279.7826586,4.3577516,3052.823460786048,11.77,1.992426059451779,5900.0,CoRoT-23,1,517.2094690183194,-2999.736258051924,231.96514827045567
291.7770457,1.3836634,598.5900498003356,16.47723,1.7578638502881687,5696.0,CoRoT-2,1,222.0096578258663,-555.7093076898864,14.45423463339442
292.0552827,0.1218359,2206.845466011309,11.623733,1.983442095356276,6740.0,CoRoT-3,1,828.6708638066274,-2045.3482561051871,4.692715644478357
102.1946233,-0.6727861,2084.2071890813295,13.33871,1.8619393723892377,6190.0,CoRoT-4,1,-440.22313957941407,2037.0381125478302,-24.472891629583817
101.2772396,0.8152163,2536.0339436716795,18.38267405,1.8964237797648056,6100.0,CoRoT-5,1,-495.8879404579067,2486.8175250843115,36.08200239573526
281.0725563,6.6632062,1849.3533977263373,13.068,1.8078566779022531,6090.0,CoRoT-6,1,352.772819073151,-1802.6680852423199,214.58588549557106
100.9561682,-1.0630076,444.0523291815407,1.860694,1.781077325974338,5250.0,CoRoT-7,3,-84.38116662009224,435.8834990642841,-8.238022509063242
290.4132621,38.3437283,3330.300560362744,4.75,1.8322382502535537,6038.0,Kepler-24,4,911.0246769466937,-2447.9370726952607,2066.0445175433024
291.5885696,1.4262972,913.4559146517962,6.38913,1.690929606204274,5080.0,CoRoT-8,1,335.99197518354754,-849.1137360002876,22.736841474612323
280.7866461,6.2040783,1176.7551620099293,11.623733,1.771601046921307,5625.0,CoRoT-9,1,218.94267397234407,-1149.19279556749,127.17207023018767
258.8313991,4.9606795,23.48430790713062,2.733,1.1717358609634754,3101.0,GJ 1214,1,-4.531795237555773,-22.953249421200727,2.030736519081948
175.5505363,26.7030669,9.328198729237684,3.85,1.445111052952736,3505.0,GJ 436,1,-8.308206094721667,0.6464970765551956,4.191782979805476
237.3003643,-35.6515055,418.75686362434544,51.5614,2.0689620178502537,4360.0,GQ Lup,1,-183.82697092826191,-286.34393938326957,-244.07397233279303
245.4776921,-20.7193398,295.22107103421564,20.1762,1.7568892511320837,4432.0,GSC 06214-00210,1,-114.60604933788252,-251.2207732160616,-104.44643288536183
209.3886452,43.49331,394.3849706335626,15.24421375,1.6525547148479038,4650.0,HAT-P-12,1,-249.28945958625857,-140.4023091716091,271.44329422571315
129.8823772,47.3519076,695.6578160514612,14.358729,1.9795305448209009,5653.0,HAT-P-13,2,-302.20636786529894,361.6607513958244,511.6762737854473
260.1161719,38.2421682,625.7471365493903,12.89,1.9546844828260332,6600.0,HAT-P-14,1,-84.36009723783559,-484.1683880146539,387.3290912661684
66.248142,39.460602,538.4651862057066,12.016,1.8292216025271144,5568.0,HAT-P-15,1,167.44557342333334,380.5155399418473,342.2201930910006
9.5730343,42.4630961,637.252708270152,14.448401,1.884700974817395,6158.0,HAT-P-16,1,463.56263394999536,78.18135600621069,430.21898397910815
324.5359781,30.4881882,248.55923186301726,11.37711541,1.7361140297684075,5350.0,HAT-P-17,2,174.4550068534825,-124.27233848958483,126.10919163334059
296.9985853,42.7819633,2939.0126846554144,3.026,1.9106267404865913,6154.0,Kepler-123,2,979.2417822018585,-1921.9875256993091,1996.2076654526202
292.7130925,38.3581685,3367.2434630192406,2.92,1.8986684984060007,6186.0,Kepler-769,2,1019.5079236599792,-2435.6486696978313,2089.6286011249726
256.346376,33.0123251,448.3777756211023,10.7299795,1.674748004479632,4790.0,HAT-P-18,1,-88.75276631369563,-365.36345134508156,244.28492496223393
9.5165832,34.7114025,566.1492015036235,11.29865255,1.6925190595810296,4962.0,HAT-P-19,1,458.98721950333936,76.94469093815265,322.38977222023664
344.4453632,38.674919,441.3684678365115,15.24424,1.8548917165648964,5975.0,HAT-P-1,1,331.95802872413634,-92.40109748862413,275.81158197007056
111.9164295,24.3361185,186.7589091957147,11.489225,1.6398819140769425,4595.0,HAT-P-20,1,-63.514438316887144,157.86630789466963,76.96125727253232
171.2749348,41.0280207,783.8691293851714,12.4249,1.892231295892917,5634.0,HAT-P-21,1,-584.4987341511871,89.7025805270639,514.5536792459189
155.6814593,50.1287115,217.8167148122536,12.89035,1.8404210404022199,5302.0,HAT-P-22,1,-127.2449199791036,57.50286205868774,167.17138644568834
306.1239076,16.7621462,1037.301494905268,14.10495771,1.8555168095587278,5918.23,HAT-P-23,1,585.5404295950585,-802.2729565918597,299.15698180670023
108.8251171,14.2626064,1183.5994427215246,13.921578,1.9103164908233712,6373.0,HAT-P-24,1,-370.1524731258539,1085.7553296087146,291.59929985476504
48.4354731,25.1973548,850.7658933962224,12.66750036,1.7581710888907258,5610.0,HAT-P-25,1,510.7423379213672,575.9808032989996,362.20295947428093
213.1565508,4.0594175,391.73874704202353,7.09629938,1.7360085006025563,5061.9,HAT-P-26,1,-327.13278950773844,-213.71556997198783,27.73155449102266
